,City Name,Lat,Lng,Temperature,Humidity,Cloudiness,WindSpeed
98,bay roberts,43.86905754795663,-52.97850075866178,-1,74,75,6.7
99,manzhouli,49.51042535446206,117.36547880555003,-0.87,55,8,2.85
100,cururupu,6.754795663052548,-40.734003220221666,26.59,83,100,3.25
101,jiuquan,40.603002502085076,99.24426993313813,-5.02,57,8,2.2
102,tucurui,-3.785654712260211,-50.83613242986709,23.14,99,48,1.95
103,muisne,3.043369474562141,-83.01147816313957,25.84,75,0,2.05
104,port-gentil,-0.22268557130941247,2.7316355178133733,28,88,20,2.1
105,kuching,3.4887406171809943,109.37946244280485,24,94,75,1
106,champerico,11.950792326939123,-92.83078197296787,34,32,40,7.7
107,saint-philippe,-68.51292743953294,70.80238393612709,-3.18,53,1,2.1
108,arona,25.015012510425365,-16.917721316114452,-0.55,80,0,4.6
109,sittingbourne,51.44036697247708,0.8819405452798037,1.8,74,20,2.1
110,iranshahr,27.241868223519603,60.45729351973776,6.99,59,0,0.5
111,kupino,54.85487906588824,77.17558767416017,-7.32,92,92,1.95
112,sao miguel do araguaia,-13.435362802335277,-49.74900120063073,25.14,88,8,1.2
113,ostersund,63.3169307756464,13.791967686858357,-1,74,40,3.1
115,clifton,38.9699749791493,-108.44269490218133,22,73,40,7.2
117,honningsvag,76.232693911593,26.532505748059663,-6,67,20,8.2
118,manta,-0.8165137614678883,-81.39725297781094,-7.82,69,8,1.2
119,jawhar,2.1526271893244484,47.5259686211605,15.29,89,0,1.3
120,dunmore town,25.311926605504595,-76.6585851872689,24.59,96,0,10.05
121,piranhas,-16.552960800667222,-51.495167503206176,28.79,52,8,6
122,krasnyy yar,57.67556296914097,85.03963347460257,-9.82,88,92,4.3
123,ostrovnoy,75.93577981651379,43.30776476755338,-12.62,82,20,5.2
125,jutai,-5.121768140116757,-68.80673825471968,25.09,91,56,2.05
126,kroya,-8.981651376146786,108.7440684907476,23.14,94,36,1
127,coquimbo,-28.874895746455373,-85.14057726486637,17,67,0,3.1
128,shahumyan,40.75145954962471,44.589805434901734,7.64,47,0,1.4
129,ochakiv,46.54128440366975,31.5713845917696,-4,92,75,5
130,aktau,43.57214345287741,51.249099768581345,6,87,0,5
131,gat,23.97581317764805,10.870044078668684,25.24,34,20,6.7
132,carnarvon,-31.101751459549618,93.48544179827957,9.44,27,0,2.5
133,lumphat,13.880733944954144,107.30945247609833,22.64,93,88,2
134,bakchar,56.487906588824046,81.44794681370726,-8.12,78,88,2.45
135,cape town,-76.67806505421184,-15.377109849445617,17,88,75,1.5
136,tarko-sale,64.20767306088408,79.73101446337188,-15.92,82,0,5.1
137,aksu,52.18265221017515,76.25941581068,-3,86,90,3
138,talnakh,69.55212677231026,90.01491202349948,-18.32,77,68,9.1
139,kondinskoye,59.90241868223521,67.74855112221906,-12.27,75,0,2.95
140,guasdualito,7.497080900750632,-70.71087796291086,35,30,40,1.5
141,castro,-55.74562135112593,-108.18439765185506,8.69,90,20,1.05
142,cartagena del chaira,0.9649708090075109,-74.02028230119171,23.39,97,88,0.95
143,clyde river,67.77064220183487,-70.726378565252,-30,74,5,2.1
145,puerto palomas,31.398665554628863,-107.29058194193198,21,9,1,2
146,humaita,-8.536280233527933,-62.79000825514774,21.8,60,75,2.1
147,pangani,-5.418682235195988,38.95239239543321,26.59,92,100,3.55
148,penzance,48.61968306922438,-7.877682534713145,3,93,40,3.1
149,duki,30.21100917431194,68.51795980984937,4.09,82,0,1.05
150,maniitsoq,62.129274395329446,-55.37120746726504,-4.82,64,20,2.3
151,ajdabiya,30.062552126772317,20.290307293671844,13.99,39,0,4.2
152,codrington,23.827356130108427,-58.686687447622774,21.59,97,88,3.3
153,fountain,38.52460383653046,-104.66361926171255,9.5,20,1,6.2
155,el dorado,37.63386155129275,-96.36625290765711,27.04,68,64,2.1
156,barcelos,-0.371142618849035,-61.69863953058008,7.63,64,0,2.1
157,jaguaruna,-29.320266889074226,-48.717589563990686,19.14,100,88,1.2
158,acari,-18.48290241868223,-75.41448757760996,22.04,92,48,3.3
159,cidreira,-54.557964970809,-27.157818513443402,17.54,95,80,1.15
160,urucara,-0.07422852376980416,-59.22379878799415,26.19,88,12,0.8
161,torbay,31.844036697247716,-46.36895465078214,-1,74,75,6.7
162,baykit,65.54378648874064,93.9664131781638,-12.97,69,20,1.7
163,hami,38.82151793160969,92.78170228110173,1.84,76,0,2.85
165,ocampo,26.499582985821533,-102.5300921049458,26.09,95,44,1.95
166,jertih,5.418682235196002,102.62248525760577,24,94,75,0.5
167,xining,35.703919933277746,99.85537506256676,-9.62,85,12,1.5
168,hofn,65.84070058381985,-14.896396610985349,4.69,89,0,2.55
169,kawalu,-16.256046705587977,105.7089487960877,19.04,96,12,1.2
170,la sarre,49.95579649708091,-79.76384054289,-13.87,69,0,3.2
171,pasinler,39.860717264387006,41.78116390761653,9,66,75,4.1
172,mandera,3.3402835696413717,42.30924909459202,26.54,45,0,3.5
173,lewisburg,35.407005838198515,-86.94500675675957,2.59,25,90,4.6
174,diest,50.994995829858226,5.024963688904464,0.3,86,0,3.6
175,chacabuco,-34.36780650542118,-60.3609386042891,16.99,51,0,5.35
176,tianpeng,32.73477898248541,101.68074204389362,5.59,100,80,2.65
177,davidson,51.58882402001669,-106.43241886092552,10.11,81,90,4.1
178,talara,-6.160967472894072,-85.89285664966803,25.39,62,0,4
179,chany,54.557964970809024,76.47994291674993,-8.02,87,92,1.55
